client,model,question_id,category,status,score_0_to_5,scorer_notes,hallucination_count,missed_source_risk,scoring_basis
claude,local-settings-managed,Q001,Wiki architecture and provenance,completed,5,Meets rubric: raw directories are source of truth/read-only and wiki is generated layer.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q001,Wiki architecture and provenance,completed,5,"Fully names both raw directories, read-only/immutable status, and wiki as generated knowledge layer.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q001,Wiki architecture and provenance,completed,5,"Complete answer with required directories, read-only status, generated wiki role, and traceability.",0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q001,Wiki architecture and provenance,completed,5,Correctly identifies immutable raw corpus and generated/navigable wiki role.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q001,Wiki architecture and provenance,completed,5,Complete and accurate against all rubric elements.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q002,Wiki architecture and provenance,completed,5,All six counts and artifact categories are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex,gpt-5.4,Q002,Wiki architecture and provenance,completed,5,All six builder output counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
codex-mcp,gpt-5.4,Q002,Wiki architecture and provenance,completed,5,All six required counts are present and correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
gemini,gemini-3.1-pro-preview,Q002,Wiki architecture and provenance,completed,5,All required builder output counts are correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
microsoft-copilot,gpt-5-thinking-ui-selected,Q002,Wiki architecture and provenance,completed,5,Complete set of six correct counts.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
claude,local-settings-managed,Q003,Wiki architecture and provenance,completed,5,All six format counts are present and correct.,0,0,human_written_benchmark_rubric_codex_review_2026-04-20
