source_id,title,author_or_org,publication_date,source_type,url,accessed_date,evidence_grade,claim_supported,relevant_quote_short,limitations_or_bias,used_in_sections,verification_status
"EXT-001","Evaluating Large Language Models Trained on Code","Mark Chen et al.; OpenAI","2021-07-07","research paper","https://arxiv.org/abs/2107.03374","2026-05-09","A","Codex/HumanEval framed early AI coding support as code synthesis from prompts and docstrings, with safety and limitation caveats.","Introduces Codex and HumanEval.","Preprint by model vendor; HumanEval is narrow and not production software engineering.","02;04","Verified: URL, title, authors and date checked."
"EXT-002","GitHub Copilot is generally available to all developers","GitHub","2022-06-21","vendor announcement","https://github.blog/news-insights/product-news/github-copilot-is-generally-available-to-all-developers/","2026-05-09","B","GitHub Copilot GA was an editor-based assistant focused on suggestions, completions and pair-programming workflow.","Generally available on 21 June 2022.","Vendor source; useful for product timeline, not independent productivity proof.","02","Verified: URL, title, organisation and date checked."
"EXT-003","GitHub Copilot X: The AI-powered developer experience","GitHub","2023-03-22","vendor announcement","https://github.blog/2023-03-22-github-copilot-x-the-ai-powered-developer-experience/","2026-05-09","B","Copilot X marked expansion from autocomplete into chat, pull requests, documentation and CLI-oriented assistance.","Chat and pull-request support.","Vendor source; roadmap framing and capability claims need independent evaluation.","02;04","Verified via search result and official GitHub domain."
"EXT-004","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","Carlos E. Jimenez et al.","2023-10-10","benchmark paper","https://arxiv.org/abs/2310.06770","2026-05-09","A","SWE-bench moved evaluation towards repository-level issue resolution over real GitHub issues and pull requests.","2,294 problems from 12 repositories.","Open-source benchmark with contamination and test-validity limitations; Python-heavy.","02;04","Verified: URL, title, authors and date checked."
"EXT-005","The Impact of AI on Developer Productivity: Evidence from GitHub Copilot","Sida Peng; Eirini Kalliamvakou; Peter Cihon; Mert Demirer","2023-02-13","controlled experiment paper","https://arxiv.org/abs/2302.06590","2026-05-09","A","In a bounded JavaScript HTTP-server task, participants with Copilot completed faster than controls.","Treatment group completed faster.","Single lab task; speed was measured more directly than long-term maintainability or public-sector assurance.","03","Verified: URL, title, authors and date checked."
"EXT-006","Asleep at the Keyboard? Assessing the Security of GitHub Copilot's Code Contributions","Hammond Pearce et al.","2021-08-20","security research paper","https://arxiv.org/abs/2108.09293","2026-05-09","A","AI code suggestions can include vulnerable code, so generated code must be security-reviewed.","About 40 per cent vulnerable in study.","Early Copilot-era study; prompt scenarios may not represent every modern model or workflow.","03;05","Verified: URL, title, authors and date checked."
"EXT-007","Do Users Write More Insecure Code with AI Assistants?","Neil Perry; Megha Srivastava; Deepak Kumar; Dan Boneh","2022-11-07","security user study","https://arxiv.org/abs/2211.03622","2026-05-09","A","Users with an AI code assistant wrote less secure code in security tasks and were more likely to believe it was secure.","Less secure code with assistant.","Security tasks and one Codex-era assistant; modern tools differ, but overconfidence risk remains relevant.","03;05","Verified: URL, title, authors and date checked."
"EXT-008","Introducing Devin, the first AI software engineer","Cognition","2024-03-12","vendor announcement","https://cognition.ai/blog/introducing-devin","2026-05-09","B","Devin was presented as an autonomous software-engineering agent with shell, editor and browser in a sandbox.","Shell, editor and browser.","Vendor benchmark/performance claims are not independent evidence and must be labelled as claims.","02;04","Verified: URL, title, author organisation and date checked."
"EXT-009","Amazon Q Developer is now generally available","AWS","2024-04-30","vendor announcement","https://aws.amazon.com/about-aws/whats-new/2024/04/amazon-q-developer-generally-available/","2026-05-09","B","Amazon Q Developer GA included coding, testing, debugging, troubleshooting and transformation capabilities across the SDLC.","Generally available on Apr 30, 2024.","Vendor source; not independent productivity or quality evidence.","02;04","Verified: URL, title, organisation and date checked."
"EXT-010","Claude 3.7 Sonnet and Claude Code","Anthropic","2025-02-24","vendor announcement","https://www.anthropic.com/news/claude-3-7-sonnet","2026-05-09","B","Claude Code entered limited research preview as an agentic command-line coding tool able to search, edit, test and use command-line tools.","Limited research preview.","Vendor benchmark and productivity claims need independent support.","02;04","Verified: URL, title, organisation and date checked."
"EXT-011","Introducing Codex","OpenAI","2025-05-16","vendor announcement","https://openai.com/index/introducing-codex/","2026-05-09","B","OpenAI introduced Codex as a cloud-based software-engineering agent that can inspect a repo, edit files, run commands and propose PRs.","Cloud-based software-engineering agent.","Vendor source; use for release date, capability and stated controls, not independent efficacy.","02;04;05","Verified: URL, title, organisation and date checked."
"EXT-012","Codex changelog","OpenAI Developers","2026-05-08","vendor documentation","https://developers.openai.com/codex/changelog","2026-05-09","B","The Codex product and CLI were actively changing through May 2026, including CLI releases and API/model updates.","Latest updates to Codex.","Changelog is product documentation, not independent evaluation.","02;04","Verified: URL, title and current May 2026 entries checked."
"EXT-013","Agent approvals and security","OpenAI Developers","2026","vendor documentation","https://developers.openai.com/codex/agent-approvals-security","2026-05-09","B","Codex uses sandbox and approval controls; these are important controls but not a substitute for human assurance.","Sandbox and approval combinations.","Vendor security design documentation; implementation details may change.","05;07","Verified: URL and title checked."
"EXT-014","Build with Jules, your asynchronous coding agent","Google Labs","2025-05-20","vendor announcement","https://blog.google/technology/google-labs/jules/","2026-05-09","B","Google Jules public beta described an asynchronous coding agent using cloud VMs, repository context and human-visible diffs.","Public beta on 20 May 2025.","Vendor source; capability and release date only.","02;04","Verified: URL, title, organisation and date checked."
