Debt value,Action,Authority level,Timescale
£0 – £65,Write off (below cost of recovery),Team Leader,Immediate
£65.01 – £500,Standard recovery from benefits,Decision Maker,Within 28 days of overpayment decision
"£501 – £5,000",Standard recovery + direct earnings attachment if no benefit in payment,HEO,Within 28 days
"£5,001 – £10,000",Above + consider civil court action,SEO,Review at 90 days if not recovered
"£10,001 – £50,000",Above + mandatory referral to Debt Enforcement,Grade 7,Review at 60 days
"£50,001 – £100,000",Senior management review + potential fraud referral,G6,Immediate review
"Over £100,000",Director approval required for recovery strategy,SCS1,Immediate
Over £1m,,Director General + referral to HMT,Immediate
[NOTE: The threshold at £65 was set in 2009 and has never been uprated. In real terms this is approximately £45 in 2009 prices. A review was recommended by the NAO in 2019 but has not been actioned.],,,
[KNOWN ERROR: The £1m threshold row is missing the 'Action' column text. It should read: 'Full recovery strategy and ministerial briefing'. This has been reported but not yet fixed in the published version.],,,
